Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
60;infrastructure;HUAWEI-88Q4;F8:98:B9:6E:60:14;;11;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;31;0;0;0;0;0;;;Wed Nov 21 06:34:27 2018;Wed Nov 21 06:35:27 2018;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
61;infrastructure;UPC14D9568;54:67:51:DB:D5:E0;;11;No;WPA2,AES-CCM,TKIP;No;130.0;0;25;0;2;0;0;2;;;Wed Nov 21 06:34:36 2018;Wed Nov 21 06:35:31 2018;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
62;infrastructure;WifiDirect;F8:1A:67:B9:DF:D4;;5;No;WPA2,WPA,AES-CCM;No;270.0;0;98;0;0;0;0;0;;;Wed Nov 21 06:34:23 2018;Wed Nov 21 06:35:26 2018;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
63;infrastructure;HOME;54:04:A6:87:71:84;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;10;0;0;0;0;0;;;Wed Nov 21 06:35:22 2018;Wed Nov 21 06:35:30 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
64;infrastructure;Cate1;04:BD:70:9B:98:C4;;7;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;67;0;0;0;0;0;;;Wed Nov 21 06:34:20 2018;Wed Nov 21 06:35:31 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
65;infrastructure;SIAC Technology;00:21:29:AA:A2:4D;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Wed Nov 21 06:35:26 2018;Wed Nov 21 06:35:27 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
66;infrastructure;Orange-TKbU;24:BC:F8:C9:0E:88;;4;No;WPA2,AES-CCM;No;130.0;0;17;0;0;0;0;0;;;Wed Nov 21 06:35:04 2018;Wed Nov 21 06:35:30 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
67;infrastructure;HUAWEI-KB2A;68:A8:28:83:A2:68;;5;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;4;0;0;0;0;0;;;Wed Nov 21 06:35:30 2018;Wed Nov 21 06:35:31 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
68;infrastructure;Tenda_4C0508;C8:3A:35:4C:05:08;;7;No;WPA,AES-CCM;No;135.0;0;3;0;0;0;0;0;;;Wed Nov 21 06:35:26 2018;Wed Nov 21 06:35:28 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
69;infrastructure;Clicknet-90D8;78:F5:FD:A7:90:E1;;7;No;WPA2,AES-CCM;No;130.0;0;135;0;6;0;0;6;;;Wed Nov 21 06:34:20 2018;Wed Nov 21 06:35:27 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
